==========    1    ===========
          11901           70681    -1000000000.000000000000000
          11901           70619    -1000000000.000000000000000
          11901           11901              0.000000000000000
          11901           70622    -1000000000.000000000000000
          11901           70623    -1000000000.000000000000000
          70623           70624             -4.070403384734171
          70623           11899    -1000000000.000000000000000
          70623           70681             -1.628028288535776
          70623           70619             -1.177826605174392
          70623           11901    -1000000000.000000000000000
          70623           70622             -1.779034359415282
          70623           70623             -1.171619030103554
==========    3    ===========
          70624           70624             -0.026540759955955
          70624           75393            -18.607361136800332
          70624           75395             -9.675343996623221
          70624           70620    -1000000000.000000000000000
          70624           70680    -1000000000.000000000000000
          70624           70681             -5.255803518988017
          70624           70682             -5.254312989705971
          70624           70619             -5.256180571968170
          70624           70684    -1000000000.000000000000000
          70624           70621    -1000000000.000000000000000
          70624           70622             -5.256556257533260
          70624           70623             -5.247942172829058
          11899           70624    -1000000000.000000000000000
          11899           75393    -1000000000.000000000000000
          11899           75395    -1000000000.000000000000000
          11899           70620    -1000000000.000000000000000
          11899           70680    -1000000000.000000000000000
          11899           70681    -1000000000.000000000000000
          11899           70682    -1000000000.000000000000000
          11899           70619    -1000000000.000000000000000
          11899           70684    -1000000000.000000000000000
          11899           70621    -1000000000.000000000000000
          11899           70622    -1000000000.000000000000000
          11899           70623    -1000000000.000000000000000
          70681           70624             -6.338586762364216
          70681           75393             -6.632308140163007
          70681           75395             -2.229716645179485
          70681           70620    -1000000000.000000000000000
          70681           70680             -4.047122888739257
          70681           70681             -1.229458489506522
          70681           70682             -1.229458489506522
          70681           70619             -4.531525050087452
          70681           70684             -1.326315891724832
          70681           70621             -4.531442306053866
          70681           70622    -1000000000.000000000000000
          70681           70623    -1000000000.000000000000000
          70619           70624             -5.242129560671572
          70619           75393            -13.581303817954922
          70619           75395             -9.272361798806692
          70619           70620             -4.927541148487594
          70619           70680    -1000000000.000000000000000
          70619           70681             -5.257262533397543
          70619           70682             -5.255772914074926
